deal_id,snapshot_date,advance_rate
Brightwater CLO 2024-1,2025-01-31,0.8
Sterling Mid-Market Fund II,2025-01-31,0.75
Granite Peak Direct Lending,2025-01-31,0.7
Brightwater CLO 2024-1,2025-02-28,0.8
Sterling Mid-Market Fund II,2025-02-28,0.75
Granite Peak Direct Lending,2025-02-28,0.7
Brightwater CLO 2024-1,2025-03-31,0.8
Sterling Mid-Market Fund II,2025-03-31,0.75
Granite Peak Direct Lending,2025-03-31,0.7
Brightwater CLO 2024-1,2025-04-30,0.8
Sterling Mid-Market Fund II,2025-04-30,0.75
Granite Peak Direct Lending,2025-04-30,0.7
Brightwater CLO 2024-1,2025-05-31,0.8
Sterling Mid-Market Fund II,2025-05-31,0.75
Granite Peak Direct Lending,2025-05-31,0.7
Brightwater CLO 2024-1,2025-06-30,0.8
Sterling Mid-Market Fund II,2025-06-30,0.75
Granite Peak Direct Lending,2025-06-30,0.7
Brightwater CLO 2024-1,2025-07-31,0.8
Sterling Mid-Market Fund II,2025-07-31,0.75
Granite Peak Direct Lending,2025-07-31,0.7
Brightwater CLO 2024-1,2025-08-31,0.8
Sterling Mid-Market Fund II,2025-08-31,0.75
Granite Peak Direct Lending,2025-08-31,0.7
Brightwater CLO 2024-1,2025-09-30,0.8
Sterling Mid-Market Fund II,2025-09-30,0.75
Granite Peak Direct Lending,2025-09-30,0.7
Brightwater CLO 2024-1,2025-10-31,0.8
Sterling Mid-Market Fund II,2025-10-31,0.75
Granite Peak Direct Lending,2025-10-31,0.7
Brightwater CLO 2024-1,2025-11-30,0.8
Sterling Mid-Market Fund II,2025-11-30,0.75
Granite Peak Direct Lending,2025-11-30,0.7
Brightwater CLO 2024-1,2025-12-31,0.8
Sterling Mid-Market Fund II,2025-12-31,0.75
Granite Peak Direct Lending,2025-12-31,0.7
Brightwater CLO 2024-1,2026-01-31,0.8
Sterling Mid-Market Fund II,2026-01-31,0.75
Granite Peak Direct Lending,2026-01-31,0.7
Brightwater CLO 2024-1,2026-02-28,0.8
Sterling Mid-Market Fund II,2026-02-28,0.75
Granite Peak Direct Lending,2026-02-28,0.7
Brightwater CLO 2024-1,2026-03-31,0.8
Sterling Mid-Market Fund II,2026-03-31,0.75
Granite Peak Direct Lending,2026-03-31,0.7
Brightwater CLO 2024-1,2026-04-30,0.8
Sterling Mid-Market Fund II,2026-04-30,0.75
Granite Peak Direct Lending,2026-04-30,0.7
Brightwater CLO 2024-1,2026-05-31,0.8
Sterling Mid-Market Fund II,2026-05-31,0.75
Granite Peak Direct Lending,2026-05-31,0.7
Brightwater CLO 2024-1,2026-06-30,0.8
Sterling Mid-Market Fund II,2026-06-30,0.75
Granite Peak Direct Lending,2026-06-30,0.7
