deal_id,snapshot_date,balance
Brightwater CLO 2024-1,2025-01-31,2000000.0
Sterling Mid-Market Fund II,2025-01-31,2625000.0
Granite Peak Direct Lending,2025-01-31,1400000.0
Brightwater CLO 2024-1,2025-02-28,1980000.0
Sterling Mid-Market Fund II,2025-02-28,2598750.0
Granite Peak Direct Lending,2025-02-28,1386000.0
Brightwater CLO 2024-1,2025-03-31,1960000.0
Sterling Mid-Market Fund II,2025-03-31,2572500.0
Granite Peak Direct Lending,2025-03-31,1372000.0
Brightwater CLO 2024-1,2025-04-30,1940000.0
Sterling Mid-Market Fund II,2025-04-30,2546250.0
Granite Peak Direct Lending,2025-04-30,1358000.0
Brightwater CLO 2024-1,2025-05-31,1920000.0
Sterling Mid-Market Fund II,2025-05-31,2520000.0
Granite Peak Direct Lending,2025-05-31,1344000.0
Brightwater CLO 2024-1,2025-06-30,1900000.0
Sterling Mid-Market Fund II,2025-06-30,2493750.0
Granite Peak Direct Lending,2025-06-30,1330000.0
Brightwater CLO 2024-1,2025-07-31,1880000.0
Sterling Mid-Market Fund II,2025-07-31,2467500.0
Granite Peak Direct Lending,2025-07-31,1316000.0
Brightwater CLO 2024-1,2025-08-31,1860000.0
Sterling Mid-Market Fund II,2025-08-31,2441250.0
Granite Peak Direct Lending,2025-08-31,1302000.0
Brightwater CLO 2024-1,2025-09-30,1840000.0
Sterling Mid-Market Fund II,2025-09-30,2415000.0
Granite Peak Direct Lending,2025-09-30,1288000.0
Brightwater CLO 2024-1,2025-10-31,1820000.0
Sterling Mid-Market Fund II,2025-10-31,2388750.0
Granite Peak Direct Lending,2025-10-31,1274000.0
Brightwater CLO 2024-1,2025-11-30,1800000.0
Sterling Mid-Market Fund II,2025-11-30,2362500.0
Granite Peak Direct Lending,2025-11-30,1260000.0
Brightwater CLO 2024-1,2025-12-31,1780000.0
Sterling Mid-Market Fund II,2025-12-31,2336250.0
Granite Peak Direct Lending,2025-12-31,1246000.0
Brightwater CLO 2024-1,2026-01-31,1760000.0
Sterling Mid-Market Fund II,2026-01-31,2310000.0
Granite Peak Direct Lending,2026-01-31,1232000.0
Brightwater CLO 2024-1,2026-02-28,1740000.0
Sterling Mid-Market Fund II,2026-02-28,2283750.0
Granite Peak Direct Lending,2026-02-28,1218000.0
Brightwater CLO 2024-1,2026-03-31,1720000.0
Sterling Mid-Market Fund II,2026-03-31,2257500.0
Granite Peak Direct Lending,2026-03-31,1204000.0
Brightwater CLO 2024-1,2026-04-30,1700000.0
Sterling Mid-Market Fund II,2026-04-30,2231250.0
Granite Peak Direct Lending,2026-04-30,1190000.0
Brightwater CLO 2024-1,2026-05-31,1680000.0
Sterling Mid-Market Fund II,2026-05-31,2205000.0
Granite Peak Direct Lending,2026-05-31,1176000.0
Brightwater CLO 2024-1,2026-06-30,1660000.0
Sterling Mid-Market Fund II,2026-06-30,2440200.0
Granite Peak Direct Lending,2026-06-30,1162000.0
